Number,Verse
298,"Luke 7:9 “I tell you, I have not found such great faith even in Israel.”"
299,Luke 7:13 “Don’t cry.”
300,"Luke 7:14 “Young man, I say to you, get up!”"
301,"Luke 7:22-23 “Go back and report to John what you have seen and heard: The blind receive sight, the lame walk, those who have leprosy are cleansed, the deaf hear, the dead are raised, and the good news is proclaimed to the poor. 23 Blessed is anyone who does not stumble on account of me.”"
302,"Luke 7:24-28 “What did you go out into the wilderness to see? A reed swayed by the wind? 25 If not, what did you go out to see? A man dressed in fine clothes? No, those who wear expensive clothes and indulge in luxury are in palaces. 26 But what did you go out to see? A prophet? Yes, I tell you, and more than a prophet. 27 This is the one about whom it is written: “‘I will send my messenger ahead of you, who will prepare your way before you.’ 28 I tell you, among those born of women there is no one greater than John; yet the one who is least in the kingdom of God is greater than he.”"
303,"Luke 7:31-35 “To what, then, can I compare the people of this generation? What are they like? 32 They are like children sitting in the marketplace and calling out to each other: “‘We played the pipe for you, and you did not dance; we sang a dirge, and you did not cry.’ 33 For John the Baptist came neither eating bread nor drinking wine, and you say, ‘He has a demon.’ 34 The Son of Man came eating and drinking, and you say, ‘Here is a glutton and a drunkard, a friend of tax collectors and sinners.’ 35 But wisdom is proved right by all her children.”"
304,"Luke 7:40-42 “Simon, I have something to tell you. 41 Two people owed money to a certain moneylender. One owed him five hundred denarii, and the other fifty. 42 Neither of them had the money to pay him back, so he forgave the debts of both. Now which of them will love him more?”"
305,"Luke 7:43 “You have judged correctly,”"
306,"Luke 7:44-47 “Do you see this woman? I came into your house. You did not give me any water for my feet, but she wet my feet with her tears and wiped them with her hair. 45 You did not give me a kiss, but this woman, from the time I entered, has not stopped kissing my feet. 46 You did not put oil on my head, but she has poured perfume on my feet. 47 Therefore, I tell you, her many sins have been forgiven—as her great love has shown. But whoever has been forgiven little loves little.”"
307,Luke 7:48 Thy sins are forgiven.
308,Luke 7:50 “Your faith has saved you; go in peace.”
309,"Luke 8:5-8 5 “A farmer went out to sow his seed. As he was scattering the seed, some fell along the path; it was trampled on, and the birds ate it up. 6 Some fell on rocky ground, and when it came up, the plants withered because they had no moisture. 7 Other seed fell among thorns, which grew up with it and choked the plants. 8 Still other seed fell on good soil. It came up and yielded a crop, a hundred times more than was sown. Whoever has ears to hear, let them hear.”"
310,"Luke 8:10-18 “The knowledge of the secrets of the kingdom of God has been given to you, but to others I speak in parables, so that, “‘though seeing, they may not see; though hearing, they may not understand.’ 11 “This is the meaning of the parable: The seed is the word of God. 12 Those along the path are the ones who hear, and then the devil comes and takes away the word from their hearts, so that they may not believe and be saved. 13 Those on the rocky ground are the ones who receive the word with joy when they hear it, but they have no root. They believe for a while, but in the time of testing they fall away. 14 The seed that fell among thorns stands for those who hear, but as they go on their way they are choked by life’s worries, riches and pleasures, and they do not mature. 15 But the seed on good soil stands for those with a noble and good heart, who hear the word, retain it, and by persevering produce a crop. 16 “No one lights a lamp and hides it in a clay jar or puts it under a bed. Instead, they put it on a stand, so that those who come in can see the light. 17 For there is nothing hidden that will not be disclosed, and nothing concealed that will not be known or brought out into the open. 18 Therefore consider carefully how you listen. Whoever has will be given more; whoever does not have, even what they think they have will be taken from them.”"
311,Luke 8:21 “My mother and brothers are those who hear God’s word and put it into practice.”
312,Luke 8:22 “Let us go over to the other side of the lake.”
313,Luke 8:25 Where is your faith?
314,Luke 8:30 “What is your name?”
315,Luke 8:39 39 “Return home and tell how much God has done for you.”
316,Luke 8:45 Who touched me?
317,Luke 8:46 “Someone touched me; I know that power has gone out from me.”
318,"Luke 8:48 “Daughter, your faith has healed you. Go in peace.”"
319,"Luke 8:50 “Don’t be afraid; just believe, and she will be healed.”"
320,"Luke 8:52 “Stop wailing, She is not dead but asleep.”"
321,"Luke 8:54 “My child, get up!”"
322,"Luke 9:3-5 “Take nothing for the journey—no staff, no bag, no bread, no money, no extra shirt. 4 Whatever house you enter, stay there until you leave that town. 5 If people do not welcome you, leave their town and shake the dust off your feet as a testimony against them.”"
323,Luke 9:13 “You give them something to eat.”
324,Luke 9:14 “Have them sit down in groups of about fifty each.”
325,Luke 9:18 “Who do the crowds say I am?”
326,Luke 9:20 20 “But what about you? Who do you say I am?”
327,"Luke 9:22-27 “The Son of Man must suffer many things and be rejected by the elders, the chief priests and the teachers of the law, and he must be killed and on the third day be raised to life.” 23 “Whoever wants to be my disciple must deny themselves and take up their cross daily and follow me. 24 For whoever wants to save their life will lose it, but whoever loses their life for me will save it. 25 What good is it for someone to gain the whole world, and yet lose or forfeit their very self? 26 Whoever is ashamed of me and my words, the Son of Man will be ashamed of them when he comes in his glory and in the glory of the Father and of the holy angels. 27 “Truly I tell you, some who are standing here will not taste death before they see the kingdom of God.”"
328,"Luke 9:41 41 “You unbelieving and perverse generation, how long shall I stay with you and put up with you? Bring your son here.”"
329,Luke 9:44 44 “Listen carefully to what I am about to tell you: The Son of Man is going to be delivered into the hands of men.”
330,Luke 9:48 “Whoever welcomes this little child in my name welcomes me; and whoever welcomes me welcomes the one who sent me. For it is the one who is least among you all who is the greatest.”
331,"Luke 9:50 50 “Do not stop him, for whoever is not against you is for you.”"
332,"Luke 9:58 “Foxes have dens and birds have nests, but the Son of Man has no place to lay his head.”"
333,Luke 9:59 “Follow me.”
334,"Luke 9:60 “Let the dead bury their own dead, but you go and proclaim the kingdom of God.”"
335,Luke 9:62 “No one who puts a hand to the plow and looks back is fit for service in the kingdom of God.”
336,"Luke 10:2-16 “The harvest is plentiful, but the workers are few. Ask the Lord of the harvest, therefore, to send out workers into his harvest field. 3 Go! I am sending you out like lambs among wolves. 4 Do not take a purse or bag or sandals; and do not greet anyone on the road. 5 “When you enter a house, first say, ‘Peace to this house.’ 6 If someone who promotes peace is there, your peace will rest on them; if not, it will return to you. 7 Stay there, eating and drinking whatever they give you, for the worker deserves his wages. Do not move around from house to house. 8 “When you enter a town and are welcomed, eat what is offered to you. 9 Heal the sick who are there and tell them, ‘The kingdom of God has come near to you.’ 10 But when you enter a town and are not welcomed, go into its streets and say, 11 ‘Even the dust of your town we wipe from our feet as a warning to you. Yet be sure of this: The kingdom of God has come near.’ 12 I tell you, it will be more bearable on that day for Sodom than for that town. 13 “Woe to you, Chorazin! Woe to you, Bethsaida! For if the miracles that were performed in you had been performed in Tyre and Sidon, they would have repented long ago, sitting in sackcloth and ashes. 14 But it will be more bearable for Tyre and Sidon at the judgment than for you. 15 And you, Capernaum, will you be lifted to the heavens? No, you will go down to Hades. 16 “Whoever listens to you listens to me; whoever rejects you rejects me; but whoever rejects me rejects him who sent me.”"
337,"Luke 10:18-20 “I saw Satan fall like lightning from heaven. 19 I have given you authority to trample on snakes and scorpions and to overcome all the power of the enemy; nothing will harm you. 20 However, do not rejoice that the spirits submit to you, but rejoice that your names are written in heaven.”"
338,"Luke 10:21-22 “I praise you, Father, Lord of heaven and earth, because you have hidden these things from the wise and learned, and revealed them to little children. Yes, Father, for this is what you were pleased to do. 22 “All things have been committed to me by my Father. No one knows who the Son is except the Father, and no one knows who the Father is except the Son and those to whom the Son chooses to reveal him.”"
339,"Luke 10:23-24 “Blessed are the eyes that see what you see. 24 For I tell you that many prophets and kings wanted to see what you see but did not see it, and to hear what you hear but did not hear it.”"
340,Luke 10:26 26 “What is written in the Law? How do you read it?”
341,"Luke 10:28 28 “You have answered correctly, Do this and you will live.”"
342,"Luke 10:30-36 A man was going down from Jerusalem to Jericho, when he was attacked by robbers. They stripped him of his clothes, beat him and went away, leaving him half dead. 31 A priest happened to be going down the same road, and when he saw the man, he passed by on the other side. 32 So too, a Levite, when he came to the place and saw him, passed by on the other side. 33 But a Samaritan, as he traveled, came where the man was; and when he saw him, he took pity on him. 34 He went to him and bandaged his wounds, pouring on oil and wine. Then he put the man on his own donkey, brought him to an inn and took care of him. 35 The next day he took out two denarii and gave them to the innkeeper. ‘Look after him,’ he said, ‘and when I return, I will reimburse you for any extra expense you may have.’ 36 “Which of these three do you think was a neighbor to the man who fell into the hands of robbers?”"
343,"Luke 10:37 Go, and do likewise."
344,"Luke 10:41-42 41 “Martha, Martha, you are worried and upset about many things, 42 but few things are needed—or indeed only one. Mary has chosen what is better, and it will not be taken away from her.”"
345,"Luke 11:2-13 “When you pray, say: “‘Father, hallowed be your name, your kingdom come. 3 Give us each day our daily bread. 4 Forgive us our sins, for we also forgive everyone who sins against us. And lead us not into temptation.’” 5 “Suppose you have a friend, and you go to him at midnight and say, ‘Friend, lend me three loaves of bread; 6 a friend of mine on a journey has come to me, and I have no food to offer him.’ 7 And suppose the one inside answers, ‘Don’t bother me. The door is already locked, and my children and I are in bed. I can’t get up and give you anything.’ 8 I tell you, even though he will not get up and give you the bread because of friendship, yet because of your shameless audacity he will surely get up and give you as much as you need. 9 “So I say to you: Ask and it will be given to you; seek and you will find; knock and the door will be opened to you. 10 For everyone who asks receives; the one who seeks finds; and to the one who knocks, the door will be opened. 11 “Which of you fathers, if your son asks for a fish, will give him a snake instead? 12 Or if he asks for an egg, will give him a scorpion? 13 If you then, though you are evil, know how to give good gifts to your children, how much more will your Father in heaven give the Holy Spirit to those who ask him!”"
346,"Luke 11:17-26 “Any kingdom divided against itself will be ruined, and a house divided against itself will fall. 18 If Satan is divided against himself, how can his kingdom stand? I say this because you claim that I drive out demons by Beelzebul. 19 Now if I drive out demons by Beelzebul, by whom do your followers drive them out? So then, they will be your judges. 20 But if I drive out demons by the finger of God, then the kingdom of God has come upon you. 21 “When a strong man, fully armed, guards his own house, his possessions are safe. 22 But when someone stronger attacks and overpowers him, he takes away the armor in which the man trusted and divides up his plunder. 23 “Whoever is not with me is against me, and whoever does not gather with me scatters. 24 “When an impure spirit comes out of a person, it goes through arid places seeking rest and does not find it. Then it says, ‘I will return to the house I left.’ 25 When it arrives, it finds the house swept clean and put in order. 26 Then it goes and takes seven other spirits more wicked than itself, and they go in and live there. And the final condition of that person is worse than the first.”"
347,Luke 11:28 “Blessed rather are those who hear the word of God and obey it.”
348,"Luke 11:29-36 “This is a wicked generation. It asks for a sign, but none will be given it except the sign of Jonah. 30 For as Jonah was a sign to the Ninevites, so also will the Son of Man be to this generation. 31 The Queen of the South will rise at the judgment with the people of this generation and condemn them, for she came from the ends of the earth to listen to Solomon’s wisdom; and now something greater than Solomon is here. 32 The men of Nineveh will stand up at the judgment with this generation and condemn it, for they repented at the preaching of Jonah; and now something greater than Jonah is here. 33 “No one lights a lamp and puts it in a place where it will be hidden, or under a bowl. Instead they put it on its stand, so that those who come in may see the light. 34 Your eye is the lamp of your body. When your eyes are healthy, your whole body also is full of light. But when they are unhealthy, your body also is full of darkness. 35 See to it, then, that the light within you is not darkness. 36 Therefore, if your whole body is full of light, and no part of it dark, it will be just as full of light as when a lamp shines its light on you.”"
349,"Luke 11:39-44 “Now then, you Pharisees clean the outside of the cup and dish, but inside you are full of greed and wickedness. 40 You foolish people! Did not the one who made the outside make the inside also? 41 But now as for what is inside you—be generous to the poor, and everything will be clean for you. 42 “Woe to you Pharisees, because you give God a tenth of your mint, rue and all other kinds of garden herbs, but you neglect justice and the love of God. You should have practiced the latter without leaving the former undone. 43 “Woe to you Pharisees, because you love the most important seats in the synagogues and respectful greetings in the marketplaces. 44 “Woe to you, because you are like unmarked graves, which people walk over without knowing it.”"
350,"Luke 11:46-52 “And you experts in the law, woe to you, because you load people down with burdens they can hardly carry, and you yourselves will not lift one finger to help them. 47 “Woe to you, because you build tombs for the prophets, and it was your ancestors who killed them. 48 So you testify that you approve of what your ancestors did; they killed the prophets, and you build their tombs. 49 Because of this, God in his wisdom said, ‘I will send them prophets and apostles, some of whom they will kill and others they will persecute.’ 50 Therefore this generation will be held responsible for the blood of all the prophets that has been shed since the beginning of the world, 51 from the blood of Abel to the blood of Zechariah, who was killed between the altar and the sanctuary. Yes, I tell you, this generation will be held responsible for it all. 52 “Woe to you experts in the law, because you have taken away the key to knowledge. You yourselves have not entered, and you have hindered those who were entering.”"
351,"Luke 12:1-12 “Be on your guard against the yeast of the Pharisees, which is hypocrisy. 2 There is nothing concealed that will not be disclosed, or hidden that will not be made known. 3 What you have said in the dark will be heard in the daylight, and what you have whispered in the ear in the inner rooms will be proclaimed from the roofs. 4 “I tell you, my friends, do not be afraid of those who kill the body and after that can do no more. 5 But I will show you whom you should fear: Fear him who, after your body has been killed, has authority to throw you into hell. Yes, I tell you, fear him. 6 Are not five sparrows sold for two pennies? Yet not one of them is forgotten by God. 7 Indeed, the very hairs of your head are all numbered. Don’t be afraid; you are worth more than many sparrows. 8 “I tell you, whoever publicly acknowledges me before others, the Son of Man will also acknowledge before the angels of God. 9 But whoever disowns me before others will be disowned before the angels of God. 10 And everyone who speaks a word against the Son of Man will be forgiven, but anyone who blasphemes against the Holy Spirit will not be forgiven. 11 “When you are brought before synagogues, rulers and authorities, do not worry about how you will defend yourselves or what you will say, 12 for the Holy Spirit will teach you at that time what you should say.”"
352,"Luke 12:14-15 “Man, who appointed me a judge or an arbiter between you? Watch out! Be on your guard against all kinds of greed; life does not consist in an abundance of possessions.”"
353,"Luke 12:16-40 “The ground of a certain rich man yielded an abundant harvest. 17 He thought to himself, ‘What shall I do? I have no place to store my crops.’ 18 “Then he said, ‘This is what I’ll do. I will tear down my barns and build bigger ones, and there I will store my surplus grain. 19 And I’ll say to myself, “You have plenty of grain laid up for many years. Take life easy; eat, drink and be merry.”’ 20 “But God said to him, ‘You fool! This very night your life will be demanded from you. Then who will get what you have prepared for yourself?’ 21 “This is how it will be with whoever stores up things for themselves but is not rich toward God.” 22 Therefore I tell you, do not worry about your life, what you will eat; or about your body, what you will wear. 23 For life is more than food, and the body more than clothes. 24 Consider the ravens: They do not sow or reap, they have no storeroom or barn; yet God feeds them. And how much more valuable you are than birds! 25 Who of you by worrying can add a single hour to your life? 26 Since you cannot do this very little thing, why do you worry about the rest? 27 “Consider how the wild flowers grow. They do not labor or spin. Yet I tell you, not even Solomon in all his splendor was dressed like one of these. 28 If that is how God clothes the grass of the field, which is here today, and tomorrow is thrown into the fire, how much more will he clothe you—you of little faith! 29 And do not set your heart on what you will eat or drink; do not worry about it. 30 For the pagan world runs after all such things, and your Father knows that you need them. 31 But seek his kingdom, and these things will be given to you as well. 32 “Do not be afraid, little flock, for your Father has been pleased to give you the kingdom. 33 Sell your possessions and give to the poor. Provide purses for yourselves that will not wear out, a treasure in heaven that will never fail, where no thief comes near and no moth destroys. 34 For where your treasure is, there your heart will be also. 35 “Be dressed ready for service and keep your lamps burning, 36 like servants waiting for their master to return from a wedding banquet, so that when he comes and knocks they can immediately open the door for him. 37 It will be good for those servants whose master finds them watching when he comes. Truly I tell you, he will dress himself to serve, will have them recline at the table and will come and wait on them. 38 It will be good for those servants whose master finds them ready, even if he comes in the middle of the night or toward daybreak. 39 But understand this: If the owner of the house had known at what hour the thief was coming, he would not have let his house be broken into. 40 You also must be ready, because the Son of Man will come at an hour when you do not expect him.”"
354,"Luke 12:42-59 “Who then is the faithful and wise manager, whom the master puts in charge of his servants to give them their food allowance at the proper time? 43 It will be good for that servant whom the master finds doing so when he returns. 44 Truly I tell you, he will put him in charge of all his possessions. 45 But suppose the servant says to himself, ‘My master is taking a long time in coming,’ and he then begins to beat the other servants, both men and women, and to eat and drink and get drunk. 46 The master of that servant will come on a day when he does not expect him and at an hour he is not aware of. He will cut him to pieces and assign him a place with the unbelievers. 47 “The servant who knows the master’s will and does not get ready or does not do what the master wants will be beaten with many blows. 48 But the one who does not know and does things deserving punishment will be beaten with few blows. From everyone who has been given much, much will be demanded; and from the one who has been entrusted with much, much more will be asked. 49 “I have come to bring fire on the earth, and how I wish it were already kindled! 50 But I have a baptism to undergo, and what constraint I am under until it is completed! 51 Do you think I came to bring peace on earth? No, I tell you, but division. 52 From now on there will be five in one family divided against each other, three against two and two against three. 53 They will be divided, father against son and son against father, mother against daughter and daughter against mother, mother-in-law against daughter-in-law and daughter-in-law against mother-in-law.” 54 He said to the crowd: “When you see a cloud rising in the west, immediately you say, ‘It’s going to rain,’ and it does. 55 And when the south wind blows, you say, ‘It’s going to be hot,’ and it is. 56 Hypocrites! You know how to interpret the appearance of the earth and the sky. How is it that you don’t know how to interpret this present time? 57 “Why don’t you judge for yourselves what is right? 58 As you are going with your adversary to the magistrate, try hard to be reconciled on the way, or your adversary may drag you off to the judge, and the judge turn you over to the officer, and the officer throw you into prison. 59 I tell you, you will not get out until you have paid the last penny.”"
355,"Luke 13:2-9 “Do you think that these Galileans were worse sinners than all the other Galileans because they suffered this way? 3 I tell you, no! But unless you repent, you too will all perish. 4 Or those eighteen who died when the tower in Siloam fell on them—do you think they were more guilty than all the others living in Jerusalem? 5 I tell you, no! But unless you repent, you too will all perish. A man had a fig tree growing in his vineyard, and he went to look for fruit on it but did not find any. 7 So he said to the man who took care of the vineyard, ‘For three years now I’ve been coming to look for fruit on this fig tree and haven’t found any. Cut it down! Why should it use up the soil?’ 8 “‘Sir,’ the man replied, ‘leave it alone for one more year, and I’ll dig around it and fertilize it. 9 If it bears fruit next year, fine! If not, then cut it down.’”"
356,"Luke 13:12 “Woman, you are set free from your infirmity.”"
357,"Luke 13:15-16 “You hypocrites! Doesn’t each of you on the Sabbath untie your ox or donkey from the stall and lead it out to give it water? 16 Then should not this woman, a daughter of Abraham, whom Satan has kept bound for eighteen long years, be set free on the Sabbath day from what bound her?”"
358,"Luke 13:18-21 “What is the kingdom of God like? What shall I compare it to? 19 It is like a mustard seed, which a man took and planted in his garden. It grew and became a tree, and the birds perched in its branches.” 20 “What shall I compare the kingdom of God to? 21 It is like yeast that a woman took and mixed into about sixty pounds of flour until it worked all through the dough.”"
359,"Luke 13:24-30 24 “Make every effort to enter through the narrow door, because many, I tell you, will try to enter and will not be able to. 25 Once the owner of the house gets up and closes the door, you will stand outside knocking and pleading, ‘Sir, open the door for us.’ “But he will answer, ‘I don’t know you or where you come from.’ 26 “Then you will say, ‘We ate and drank with you, and you taught in our streets.’ 27 “But he will reply, ‘I don’t know you or where you come from. Away from me, all you evildoers!’ 28 “There will be weeping there, and gnashing of teeth, when you see Abraham, Isaac and Jacob and all the prophets in the kingdom of God, but you yourselves thrown out. 29 People will come from east and west and north and south, and will take their places at the feast in the kingdom of God. 30 Indeed there are those who are last who will be first, and first who will be last.”"
360,"Luke 13:32-35 “Go tell that fox, ‘I will keep on driving out demons and healing people today and tomorrow, and on the third day I will reach my goal.’ 33 In any case, I must press on today and tomorrow and the next day—for surely no prophet can die outside Jerusalem! 34 “Jerusalem, Jerusalem, you who kill the prophets and stone those sent to you, how often I have longed to gather your children together, as a hen gathers her chicks under her wings, and you were not willing. 35 Look, your house is left to you desolate. I tell you, you will not see me again until you say, ‘Blessed is he who comes in the name of the Lord.’”"
361,Luke 14:3 “Is it lawful to heal on the Sabbath or not?”
362,"Luke 14:5 “If one of you has a child or an ox that falls into a well on the Sabbath day, will you not immediately pull it out?”"
363,"Luke 14:8-14 8 “When someone invites you to a wedding feast, do not take the place of honor, for a person more distinguished than you may have been invited. 9 If so, the host who invited both of you will come and say to you, ‘Give this person your seat.’ Then, humiliated, you will have to take the least important place. 10 But when you are invited, take the lowest place, so that when your host comes, he will say to you, ‘Friend, move up to a better place.’ Then you will be honored in the presence of all the other guests. 11 For all those who exalt themselves will be humbled, and those who humble themselves will be exalted.” 12 “When you give a luncheon or dinner, do not invite your friends, your brothers or sisters, your relatives, or your rich neighbors; if you do, they may invite you back and so you will be repaid. 13 But when you give a banquet, invite the poor, the crippled, the lame, the blind, 14 and you will be blessed. Although they cannot repay you, you will be repaid at the resurrection of the righteous.”"
364,"Luke 14:16-24 “A certain man was preparing a great banquet and invited many guests. 17 At the time of the banquet he sent his servant to tell those who had been invited, ‘Come, for everything is now ready.’ 18 “But they all alike began to make excuses. The first said, ‘I have just bought a field, and I must go and see it. Please excuse me.’ 19 “Another said, ‘I have just bought five yoke of oxen, and I’m on my way to try them out. Please excuse me.’ 20 “Still another said, ‘I just got married, so I can’t come.’ 21 “The servant came back and reported this to his master. Then the owner of the house became angry and ordered his servant, ‘Go out quickly into the streets and alleys of the town and bring in the poor, the crippled, the blind and the lame.’ 22 “‘Sir,’ the servant said, ‘what you ordered has been done, but there is still room. 23 “Then the master told his servant, ‘Go out to the roads and country lanes and compel them to come in, so that my house will be full. 24 I tell you, not one of those who were invited will get a taste of my banquet.’”"
365,"Luke 14:26-35 26 “If anyone comes to me and does not hate father and mother, wife and children, brothers and sisters—yes, even their own life—such a person cannot be my disciple. 27 And whoever does not carry their cross and follow me cannot be my disciple. 28 “Suppose one of you wants to build a tower. Won’t you first sit down and estimate the cost to see if you have enough money to complete it? 29 For if you lay the foundation and are not able to finish it, everyone who sees it will ridicule you, 30 saying, ‘This person began to build and wasn’t able to finish.’ 31 “Or suppose a king is about to go to war against another king. Won’t he first sit down and consider whether he is able with ten thousand men to oppose the one coming against him with twenty thousand? 32 If he is not able, he will send a delegation while the other is still a long way off and will ask for terms of peace. 33 In the same way, those of you who do not give up everything you have cannot be my disciples. 34 “Salt is good, but if it loses its saltiness, how can it be made salty again? 35 It is fit neither for the soil nor for the manure pile; it is thrown out. “Whoever has ears to hear, let them hear.”"
366,"Luke 15:4-32 4 “Suppose one of you has a hundred sheep and loses one of them. Doesn’t he leave the ninety-nine in the open country and go after the lost sheep until he finds it? 5 And when he finds it, he joyfully puts it on his shoulders 6 and goes home. Then he calls his friends and neighbors together and says, ‘Rejoice with me; I have found my lost sheep.’ 7 I tell you that in the same way there will be more rejoicing in heaven over one sinner who repents than over ninety-nine righteous persons who do not need to repent. 8 “Or suppose a woman has ten silver coins and loses one. Doesn’t she light a lamp, sweep the house and search carefully until she finds it? 9 And when she finds it, she calls her friends and neighbors together and says, ‘Rejoice with me; I have found my lost coin.’ 10 In the same way, I tell you, there is rejoicing in the presence of the angels of God over one sinner who repents. 11 There was a man who had two sons. 12 The younger one said to his father, ‘Father, give me my share of the estate.’ So he divided his property between them. 13 “Not long after that, the younger son got together all he had, set off for a distant country and there squandered his wealth in wild living. 14 After he had spent everything, there was a severe famine in that whole country, and he began to be in need. 15 So he went and hired himself out to a citizen of that country, who sent him to his fields to feed pigs. 16 He longed to fill his stomach with the pods that the pigs were eating, but no one gave him anything. 17 “When he came to his senses, he said, ‘How many of my father’s hired servants have food to spare, and here I am starving to death! 18 I will set out and go back to my father and say to him: Father, I have sinned against heaven and against you. 19 I am no longer worthy to be called your son; make me like one of your hired servants.’ 20 So he got up and went to his father. “But while he was still a long way off, his father saw him and was filled with compassion for him; he ran to his son, threw his arms around him and kissed him. 21 “The son said to him, ‘Father, I have sinned against heaven and against you. I am no longer worthy to be called your son.’ 22 “But the father said to his servants, ‘Quick! Bring the best robe and put it on him. Put a ring on his finger and sandals on his feet. 23 Bring the fattened calf and kill it. Let’s have a feast and celebrate. 24 For this son of mine was dead and is alive again; he was lost and is found.’ So they began to celebrate. 25 “Meanwhile, the older son was in the field. When he came near the house, he heard music and dancing. 26 So he called one of the servants and asked him what was going on. 27 ‘Your brother has come,’ he replied, ‘and your father has killed the fattened calf because he has him back safe and sound.’ 28 “The older brother became angry and refused to go in. So his father went out and pleaded with him. 29 But he answered his father, ‘Look! All these years I’ve been slaving for you and never disobeyed your orders. Yet you never gave me even a young goat so I could celebrate with my friends. 30 But when this son of yours who has squandered your property with prostitutes comes home, you kill the fattened calf for him!’ 31 “‘My son,’ the father said, ‘you are always with me, and everything I have is yours. 32 But we had to celebrate and be glad, because this brother of yours was dead and is alive again; he was lost and is found.’”"
367,"Luke 16:1-13 “There was a rich man whose manager was accused of wasting his possessions. 2 So he called him in and asked him, ‘What is this I hear about you? Give an account of your management, because you cannot be manager any longer.’ 3 “The manager said to himself, ‘What shall I do now? My master is taking away my job. I’m not strong enough to dig, and I’m ashamed to beg— 4 I know what I’ll do so that, when I lose my job here, people will welcome me into their houses.’ 5 “So he called in each one of his master’s debtors. He asked the first, ‘How much do you owe my master?’ 6 “‘Nine hundred gallons of olive oil,’ he replied. “The manager told him, ‘Take your bill, sit down quickly, and make it four hundred and fifty.’ 7 “Then he asked the second, ‘And how much do you owe?’ “‘A thousand bushels of wheat,’ he replied. “He told him, ‘Take your bill and make it eight hundred.’ 8 “The master commended the dishonest manager because he had acted shrewdly. For the people of this world are more shrewd in dealing with their own kind than are the people of the light. 9 I tell you, use worldly wealth to gain friends for yourselves, so that when it is gone, you will be welcomed into eternal dwellings. 10 “Whoever can be trusted with very little can also be trusted with much, and whoever is dishonest with very little will also be dishonest with much. 11 So if you have not been trustworthy in handling worldly wealth, who will trust you with true riches? 12 And if you have not been trustworthy with someone else’s property, who will give you property of your own? 13 “No one can serve two masters. Either you will hate the one and love the other, or you will be devoted to the one and despise the other. You cannot serve both God and money.”"
368,"Luke 16:15-31 “You are the ones who justify yourselves in the eyes of others, but God knows your hearts. What people value highly is detestable in God’s sight. 16 “The Law and the Prophets were proclaimed until John. Since that time, the good news of the kingdom of God is being preached, and everyone is forcing their way into it. 17 It is easier for heaven and earth to disappear than for the least stroke of a pen to drop out of the Law. 18 “Anyone who divorces his wife and marries another woman commits adultery, and the man who marries a divorced woman commits adultery. 19 “There was a rich man who was dressed in purple and fine linen and lived in luxury every day. 20 At his gate was laid a beggar named Lazarus, covered with sores 21 and longing to eat what fell from the rich man’s table. Even the dogs came and licked his sores. 22 “The time came when the beggar died and the angels carried him to Abraham’s side. The rich man also died and was buried. 23 In Hades, where he was in torment, he looked up and saw Abraham far away, with Lazarus by his side. 24 So he called to him, ‘Father Abraham, have pity on me and send Lazarus to dip the tip of his finger in water and cool my tongue, because I am in agony in this fire.’ 25 “But Abraham replied, ‘Son, remember that in your lifetime you received your good things, while Lazarus received bad things, but now he is comforted here and you are in agony. 26 And besides all this, between us and you a great chasm has been set in place, so that those who want to go from here to you cannot, nor can anyone cross over from there to us.’ 27 “He answered, ‘Then I beg you, father, send Lazarus to my family, 28 for I have five brothers. Let him warn them, so that they will not also come to this place of torment. 29 “Abraham replied, ‘They have Moses and the Prophets; let them listen to them.’ 30 “‘No, father Abraham,’ he said, ‘but if someone from the dead goes to them, they will repent.’ 31 “He said to him, ‘If they do not listen to Moses and the Prophets, they will not be convinced even if someone rises from the dead.’”"
369,"Luke 17:1-4 “Things that cause people to stumble are bound to come, but woe to anyone through whom they come. 2 It would be better for them to be thrown into the sea with a millstone tied around their neck than to cause one of these little ones to stumble. 3 So watch yourselves. “If your brother or sister sins against you, rebuke them; and if they repent, forgive them. 4 Even if they sin against you seven times in a day and seven times come back to you saying ‘I repent,’ you must forgive them.”"
370,"Luke 17:6-10 “If you have faith as small as a mustard seed, you can say to this mulberry tree, ‘Be uprooted and planted in the sea,’ and it will obey you. 7 “Suppose one of you has a servant plowing or looking after the sheep. Will he say to the servant when he comes in from the field, ‘Come along now and sit down to eat’? 8 Won’t he rather say, ‘Prepare my supper, get yourself ready and wait on me while I eat and drink; after that you may eat and drink’? 9 Will he thank the servant because he did what he was told to do? 10 So you also, when you have done everything you were told to do, should say, ‘We are unworthy servants; we have only done our duty.’”"
371,"Luke 17:14 “Go, show yourselves to the priests.”"
372,Luke 17:17-19 “Were not all ten cleansed? Where are the other nine? 18 Has no one returned to give praise to God except this foreigner?” 19 “Rise and go; your faith has made you well.”
